"IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3",SUBDIV
"92","02","CSX","029221046","92","02","ATK","20205MWD04","92","02","CSX","029221046","","341143N","92","02","05","7","24","AM","07","0","0","0","0","CHICAGO","DYER","316","18","32","4","1","000","","","","0","","","MAIN","4","","1","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","M399","","0","0","1","0","M399","1","4","079","81594","","18C089","0","000000","0","","","","","","","","","2","4","","1L","0","CHICAG","O","88","0377","1992","0","0","0","0","0","0","LAKE","089","","","","N","","","AMTRAK 318 WAS STRUCK BY AUTO WHICH SLID ACROSS CROSSING - AMTRAK ENGINE DAMAGE $35.500.","","","","","","","","","","","","","","","","","","","","","","","",
"92","02","CSX","029221047","","","","","92","02","CSX","029221047","","","92","02","25","1","20","AM","01","21","3","0","0","CHICAGO","DANVILLE","1270","17","25","4","1","009","E","Y601","1","0","7","Y","EAST YARD B","1","","2","UTLX","065611","020","Y","","","","","0","0","0","2","0","0","0","0","0","0","21","0","30","0","0","3","0","3","0","0","10350","2000","M599","","0","0","0","0","M599","2","1","009","12350","","17C183","0","000000","0","1","0","1","1","01","21","01","21","1","4","","1L","1","CHICAG","ENM","98","0378","1992","0","0","0","0","0","0","VERMILION","183","","","","N","","","CREW WAS SHOVING 51 CARS TOWARDS B. ENTERED TRACK, 20TH CAR DERAILED AND THE NEXT 5 CARS FOLLOWED.","","","","","","","","","","","","","","","","","","","","","","","",
"92","12","WICT","921221A","","","","","92","12","WICT","921221A","","","92","12","21","1","45","PM","04","0","0","0","0","SYSTEM","MILTON JUNCTION","106.5","55","28","2","1","025","E","616","4","210","1","Y","SINGLE MAIN TRACK","2","0020.0","1","WICT","000616","001","","","","","","2","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","54000","0","H999","","0","0","0","0","H999","1","2","025","54000","","55C105","0","000000","0","1","0","1","0","06","45","06","45","1","4","","3L","0","SYSTEM","O","58","3133","1992","0","0","0","0","0","0","ROCK","105","","","","N","","","WHILE LOADING CARS INDUSTRY SHOVED CARS FOULING MAIN LINE.","","","","","","","","","","","","","","","","","","","","","","","",
"92","12","PW","921202","","","","","92","12","ZFPB","INDUSTRY","","","92","12","03","9","57","PM","01","0","0","0","0","SYSTEM","VERSAILLES","10","09","32","4","1","005","E","NRWO","4","0","1","Y","WILLIMANTIC BRANCH","2","","4","GATX","449336","005","Y","","","","","1","0","0","0","0","0","0","0","0","0","6","0","0","0","0","5","0","0","0","0","9971","0","T113","","0","0","0","0","T113","4","2","005","9971","","09C015","0","000000","0","1","0","1","0","01","57","01","57","1","1","","3L","0","SYSTEM","O","75","3033","1992","0","0","0","0","0","0","WINDHAM","015","","","","N","","","WIDE GAUGE ON CURVE OF INDUSTRY SIDING CAUSED RAIL TO ROLL OVER UNDER CARS.","","","","","","","","","","","","","","","","","","","","","","","",
"92","12","UP","1292SL005","","","","","92","12","UP","1292SL005","","","92","12","08","9","0","AM","09","0","0","0","0","ST LOUIS","CHESTER","62.9","17","38","2","2","050","E","06","2","5008","1","Y","SINGLE MAIN","4","","1","UP","006110","001","N","","","","","4","0","0","0","0","0","0","0","0","0","52","0","2","0","0","0","0","0","0","0","10000","0","H405","","0","0","0","0","H405","1","4","050","123599","","17C157","0","000000","0","1","1","1","0","03","00","03","00","1","6","W","1L","0","STLOUI","G","225","3121","1992","0","0","0","0","0","0","RANDOLPH","157","","","","N","","","NPMEZ-06 STRUCK VACATED WELDER'S TRUCK THAT WAS FOULING THE MAIN LINE WELDER THOUGHT HE HAD A YES ON","SWITCH, WHICH HE REPEATED BACK TO DISPATCHER, & DISPATCHER OK'ED, WHEN ACTUALLY THE DISPATCHER HAD","GIVEN HIM A NO ON SWITCH.","","","","","","","","","","","","","","","","","","","","","",
"92","12","UP","1292SL005","","","","","92","12","UP","1292SL005","","","92","12","08","9","0","AM","09","0","0","0","0","ST LOUIS","CHESTER","62.9","17","38","2","2","000","R","CAR","2","0","5","N","SINGLE MAIN","4","","1","GE","064976","001","N","","","","","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","113599","0","H405","","0","0","0","0","H405","1","4","050","123599","","17C157","0","000000","0","0","0","0","0","","","","","3","6","W","1L","0","STLOUI","M","225","3122","1992","0","0","0","0","0","0","RANDOLPH","157","","","","N","","","NPMEZ-06 STRUCK VACATED WELDER'S TRUCK THAT WAS FOULING THE MAIN LINE WELDER THOUGTH HE HAD A YES IB","SWITCH, WHICH HE REPEATED BACK TO DISPATCHER, & DISPATCHER OK'ED, WHEN ACTUALLY THE DISPATCHER HAD","GIVEN HIM A NO ON SWITCH.","","","","","","","","","","","","","","","","","","","","","",
"92","12","DRGW","T3872","","","","","92","12","UP","1292UT026","","","92","12","29","1","40","AM","01","0","0","0","0","DENVER","IRONTON","698.0","49","32","4","1","009","E","28","4","11000","1","Y","COAL #1","1","","2","RG","016968","015","N","","","","","4","0","0","0","0","0","0","0","0","0","83","0","0","0","0","13","0","0","0","0","47320","0","T111","","0","0","0","0","T111","2","1","009","51320","","49C049","0","000000","0","1","0","1","1","11","40","11","40","1","7","W","1L","0","DENVER","NIM","106","2986","1992","0","0","0","0","0","0","UTAH","049","","","","N","","","1 SNLHC 28 WAS PULLING INTO UP WYE COAL TRACK #1 AT PROVO, 13 CAR LOADS OF COAL DERAILED DUE TO WIDE","GAUGE.","","","","","","","","","","","","","","","","","","","","","","",
"92","12","UP","1292UT026","92","12","DRGW","T3872","92","12","UP","1292UT026","","","92","12","29","1","40","AM","01","0","0","0","0","UTAH","PROVO","749.0","49","28","4","2","000","","","","0","","","YARD","1","","2","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4000","T110","","0","0","0","0","T111","2","1","009","51320","","49C049","0","000000","0","","","","","","","","","2","7","W","1L","0","UTAH","N","160","3124","1992","0","0","0","0","0","0","UTAH","049","","","","N","","","DRGW TRAIN 1SNLHC-28 WAS PULLING INTO COAL 1, PROVO YARD, AND DUE TO WIDE GAUGE CAR DRGW 40788 DERAI","LED CAUSING MORE TRACK DAMAGE AND ADDITIONAL CARS TO DERAIL.","","","","","","","","","","","","","","","","","","","","","","",
"92","12","WC","G2038","","","","","92","12","WC","G2038","","","92","12","01","5","15","AM","01","0","0","0","0","WESTERN","TOMAHAWK","VY133","55","17","4","2","005","E","LO16","3","3510","1","Y","SINGLE MAIN","1","000.78","1","WC","055172","037","N","","","","","2","0","0","0","0","0","0","0","0","0","28","0","27","0","0","6","0","4","0","0","35200","11500","T110","","0","0","0","0","T110","1","1","005","46700","","55C069","0","000000","0","1","0","1","0","08","15","08","15","1","4","","3L","0","WESTER","N","110","3126","1992","0","0","0","0","0","0","LINCOLN","069","","","","N","","","DEPARTING STATION AFTER MAKING SET OUT WHEN CARS DERAILED DUE TO WIDE GAGE ACCOUNT DETERIORATED TIED","CONDITION.","","","","","","","","","","","","","","","","","","","","","","",
"92","12","WC","G2040","","","","","92","12","WC","G2040","","","92","12","01","11","5","AM","02","0","0","0","0","WESTERN","STONE LAKE","384.9","55","24","2","6","004","E","","3","0","5","N","SINGLE MAIN","3","001.26","1","MOWE","008317","001","N","","","","","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","6500","0","H402","","0","0","0","0","H402","1","3","020","7000","","55C129","0","000000","0","0","0","0","0","","","","","1","4","","3L","0","WESTER","M","230","3128","1992","0","0","0","0","0","0","WASHBURN","129","","","","N","","","THIS REPORT PERTAINS TO HI-RAIL VEHICLE #8317 WHICH WAS ON MAIN LINE AND STRUCK HEAD ON BY OPPOSING","HI-RAIL #8859. ACCIDENT HAPPENED ON A CURVE AND RAIL WAS COVERED WITH SNOW. VEHICLE 8859 UNABLE TO S","TOP IN TIME TO AVOID ACCIDENT.","","","","","","","","","","","","","","","","","","","","","",
