"CalendarYear","ScheduledDepartures","ScheduledArrivals","DeparturesFor MetricComputation","ArrivalsFor MetricComputation","% On-TimeGateDepartures","% On-TimeAirportDepartures","% On-TimeGateArrivals","AverageGateDepartureDelay","AverageTaxiOutTime","AverageTaxiOutDelay","AverageAirportDepartureDelay","AverageAirborneDelay","AverageTaxiInDelay","AverageBlockDelay","AverageGateArrivalDelay"
"1998","7,554,028","7,554,483","7,049,044","7,185,900","81.15","74.34","80.31","9.12","15.10","4.11","12.26","3.34","1.26","3.43","9.67"
"1999","7,770,782","7,768,303","7,305,424","7,436,166","80.41","72.25","79.38","9.43","15.99","4.88","13.23","3.32","1.40","3.59","10.15"
"2000","8,337,510","8,329,787","7,817,615","8,057,182","77.27","68.39","76.74","10.93","16.32","5.26","15.12","3.41","1.55","3.79","11.49"
"2001","8,178,227","8,174,434","7,378,062","7,676,601","81.02","72.70","81.30","8.97","15.67","4.89","12.83","3.50","1.63","3.15","9.03"
"2002","7,535,411","7,531,409","7,323,833","7,593,887","83.44","76.07","83.52","7.69","15.43","4.68","11.13","3.37","1.48","3.14","7.82"
"2003","7,402,616","7,397,902","7,472,661","7,648,089","84.25","76.78","83.06","7.66","15.75","4.96","11.35","3.67","1.62","3.58","8.51"
"2004","8,001,946","7,993,921","8,480,270","8,435,527","80.15","71.56","79.71","9.76","16.17","5.41","13.99","3.86","1.79","3.88","10.49"
"2005","8,583,639","8,576,424","9,089,919","9,037,865","78.68","70.79","78.72","10.45","15.77","5.10","14.44","3.71","1.97","3.78","10.99"
"2006","8,271,576","8,263,221","8,868,463","8,805,423","78.78","69.85","77.69","10.43","16.37","5.55","14.85","3.64","2.01","4.11","11.46"
"2007","8,464,705","8,453,028","8,995,416","8,974,816","77.60","67.77","76.25","11.25","16.80","5.84","16.18","3.77","2.25","4.36","12.32"
"2008","8,120,611","8,108,368","8,586,800","8,562,332","79.74","71.00","78.56","10.47","16.60","5.33","14.84","3.64","2.05","4.09","11.42"
"2009","7,573,382","7,564,499","7,949,848","7,918,393","82.25","74.18","81.71","9.16","16.18","4.91","13.08","3.37","2.02","3.58","9.64"
"2010","7,529,000","7,520,933","7,932,935","7,899,655","82.14","74.90","82.46","9.22","15.66","4.45","12.71","3.07","2.04","3.17","9.26"
"2011","7,496,769","7,492,178","7,928,907","7,900,695","82.06","75.45","82.30","9.12","15.41","4.19","12.34","2.93","1.90","3.14","9.18"
"2012","7,350,102","7,342,165","7,792,651","7,771,460","83.04","76.83","84.08","8.51","15.17","3.98","11.48","2.50","1.94","2.68","8.12"
"2013","7,281,122","7,271,744","7,752,226","7,727,189","81.33","74.27","82.03","9.46","15.58","4.42","12.87","2.57","1.99","3.21","9.41"
"2014","7,188,624","7,179,886","7,691,864","7,665,551","80.40","73.34","81.23","9.82","15.60","4.32","13.18","2.87","2.26","3.48","9.91"
"2015","7,157,304","7,147,645","7,792,460","7,763,275","80.89","72.92","82.07","9.64","16.17","4.92","13.43","2.89","2.71","3.38","9.51"
"2016","7,301,919","7,292,764","8,022,575","8,002,435","82.31","73.97","82.95","9.04","16.72","5.50","13.09","2.89","2.99","3.48","9.16"
"2017","7,376,494","7,369,062","8,108,534","8,089,165","82.12","72.64","82.42","9.14","17.38","6.17","13.68","2.89","3.12","3.64","9.39"
"2018","7,539,230","7,533,308","8,304,906","8,283,266","82.22","72.21","82.19","8.95","17.80","6.55","13.79","3.05","3.23","3.94","9.60"
"2019","7,680,282","7,675,364","8,441,757","8,414,014","82.28","72.26","82.47","8.88","17.85","6.59","13.82","3.23","3.32","3.83","9.58"
"2020","4,566,389","4,565,560","5,114,955","5,091,602","86.91","81.31","87.18","6.21","15.41","4.52","9.08","2.78","2.42","2.92","6.51"
"2021","5,727,779","5,724,400","6,640,189","6,615,092","80.97","73.51","82.22","9.24","16.26","5.17","12.94","2.98","3.12","3.50","9.32"
"2022","6,642,741","6,634,107","7,577,014","7,561,281","79.29","70.26","80.62","10.03","17.23","6.00","14.50","3.01","3.40","3.93","10.16"
"2023","1,068,677","1,067,196","1,229,126","1,227,122","80.94","70.84","80.79","9.10","18.04","6.70","14.01","3.25","3.41","4.37","9.93"
"Total :","187,700,865","187,532,091","196,647,454","197,343,983","81.09","72.96","81.08","9.38","16.22","5.15","13.33","3.23","2.23","3.58","9.78"
