Date,Location,Operator,Type,Aboard,Fatalities,Ground,Summary,City,State
1908-09-17,"Fort Myer, Virginia",Military - U.S. Army,Wright Flyer III,2.0,1.0,0.0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",Fort Myer,VA
1912-07-12,"AtlantiCity, New Jersey",Military - U.S. Navy,Dirigible,5.0,5.0,0.0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",AtlantiCity,NJ
1918-12-16,"Elizabeth, New Jersey",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,,Elizabeth,NJ
1919-05-25,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,Cleveland,OH
1919-07-19,"Dix Run, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,,Dix Run,PA
1919-10-14,"Cantonsville, Maryland",US Aerial Mail Service,Curtiss R-4LM,1.0,1.0,0.0,,Cantonsville,MD
1919-10-30,"Long Valley, New Jersey",US Aerial Mail Service,De Havilland DH.4,1.0,1.0,0.0,,Long Valley,NJ
1920-03-10,"New Paris, Indiana",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,,New Paris,IN
1920-03-30,"Newark, New Jersey",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,,Newark,NJ
1920-04-10,"Newark, New Jersey",US Aerial Mail Service,Curtiss R-4LM,2.0,1.0,0.0,,Newark,NJ
1920-04-11,"Heller Field, New Jersey",US Aerial Mail Service,Curtiss JN-4H,2.0,1.0,0.0,,Heller Field,NJ
1920-05-12,"Oskaloosa, Iowa",US Aerial Mail Service,De Havilland DH-4,2.0,1.0,0.0,,Oskaloosa,IA
1920-06-06,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,,Cleveland,OH
1920-08-16,"College Park, Maryland",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,,College Park,MD
1920-09-01,"Morristown, New Jersey",US Aerial Mail Service,Junkers JL-6,2.0,2.0,0.0,,Morristown,NJ
1920-09-15,"Pemberville, Ohio",US Aerial Mail Service,Junkers F-13,2.0,2.0,0.0,,Pemberville,OH
1920-09-27,"Hillersburg, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,,Hillersburg,PA
1920-10-15,"Batavia, Illinois",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,,Batavia,IL
1920-11-07,"Tie Siding, Wyoming",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,,Tie Siding,WY
1921-02-09,"La Crosse, Wisconsin",US Aerial Mail Service,Junkers F-13,3.0,3.0,0.0,,La Crosse,WI
1921-02-22,"Elko, Nevada",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,,Elko,NV
1921-04-29,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,,Cleveland,OH
1921-05-17,"Rock Springs, Wyoming",US Aerial Mail Service,,1.0,1.0,0.0,,Rock Springs,WY
1921-07-16,"San Francisco, California",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,,San Francisco,CA
1922-02-21,"Near Norfolk, Virginia",Military - U.S. Army Air Service,Dirigible Roma (airship),45.0,34.0,0.0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.,Near Norfolk,VA
1925-10-01,"Nittany Mt, Ohio",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,,Nittany Mt,OH
1922-09-07,"Indianapolis, Indiana",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,,Indianapolis,IN
1923-01-18,"Cheyenne, Wyoming",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,,Cheyenne,WY
