Mode,Measure,Year,Measure Names,Measure Values
Rail,"Freight cars, car companies and shippers",2020,Value,
Rail,"Freight cars, car companies and shippers",2019,Value,
Rail,"Freight cars, car companies and shippers",2018,Value,
Rail,"Freight cars, car companies and shippers",2017,Value,
Rail,"Freight cars, car companies and shippers",2016,Value,
Rail,"Freight cars, car companies and shippers",2015,Value,
Rail,"Freight cars, car companies and shippers",2014,Value,
Rail,"Freight cars, car companies and shippers",2013,Value,873679
Rail,"Freight cars, car companies and shippers",2012,Value,842802
Rail,"Freight cars, car companies and shippers",2011,Value,806554
Rail,"Freight cars, car companies and shippers",2010,Value,809544
Rail,"Freight cars, car companies and shippers",2009,Value,839020
Rail,"Freight cars, car companies and shippers",2008,Value,833188
Rail,"Freight cars, car companies and shippers",2007,Value,805074
Rail,"Freight cars, car companies and shippers",2006,Value,750404
Rail,"Freight cars, car companies and shippers",2005,Value,717211
Rail,"Freight cars, car companies and shippers",2004,Value,693978
Rail,"Freight cars, car companies and shippers",2003,Value,687337
Rail,"Freight cars, car companies and shippers",2002,Value,691329
Rail,"Freight cars, car companies and shippers",2001,Value,688806
Rail,"Freight cars, car companies and shippers",2000,Value,688194
Rail,"Freight cars, car companies and shippers",1999,Value,662934
Rail,"Freight cars, car companies and shippers",1998,Value,618404
Rail,"Freight cars, car companies and shippers",1997,Value,585818
Rail,"Freight cars, car companies and shippers",1996,Value,582344
Rail,"Freight cars, car companies and shippers",1995,Value,550717
Rail,"Freight cars, car companies and shippers",1994,Value,515362
Rail,"Freight cars, car companies and shippers",1993,Value,497586
Rail,"Freight cars, car companies and shippers",1992,Value,477883
Rail,"Freight cars, car companies and shippers",1991,Value,458679
Rail,"Freight cars, car companies and shippers",1990,Value,449832
Rail,"Freight cars, car companies and shippers",1985,Value,443530
Rail,"Freight cars, car companies and shippers",1980,Value,440552
Rail,"Freight cars, car companies and shippers",1975,Value,334739
Rail,"Freight cars, car companies and shippers",1970,Value,330473
Rail,"Freight cars, car companies and shippers",1965,Value,285493
Rail,"Freight cars, car companies and shippers",1960,Value,275090
Rail,"Freight cars, Class I",2020,Value,252400
Rail,"Freight cars, Class I",2019,Value,270378
Rail,"Freight cars, Class I",2018,Value,293742
Rail,"Freight cars, Class I",2017,Value,306268
Rail,"Freight cars, Class I",2016,Value,315227
Rail,"Freight cars, Class I",2015,Value,330996
Rail,"Freight cars, Class I",2014,Value,371642
Rail,"Freight cars, Class I",2013,Value,373838
Rail,"Freight cars, Class I",2012,Value,380641
Rail,"Freight cars, Class I",2011,Value,380699
Rail,"Freight cars, Class I",2010,Value,397730
Rail,"Freight cars, Class I",2009,Value,416180
Rail,"Freight cars, Class I",2008,Value,450297
Rail,"Freight cars, Class I",2007,Value,460172
Rail,"Freight cars, Class I",2006,Value,475415
Rail,"Freight cars, Class I",2005,Value,474839
Rail,"Freight cars, Class I",2004,Value,473773
